@relation 'training_tututorial1-weka.filters.unsupervised.attribute.Remove-R51-53-weka.filters.unsupervised.attribute.Remove-R3,10-12,16-18,22-24,28-30,32-50'

@attribute posX numeric
@attribute posY numeric
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute Ghost1posX numeric
@attribute Ghost1posY numeric
@attribute DirGhost1 {North,South,East,West,Stop,-1}
@attribute Ghost2posX numeric
@attribute Ghost2posY numeric
@attribute DirGhost2 {North,South,East,West,Stop,-1}
@attribute Ghost3posX numeric
@attribute Ghost3posY numeric
@attribute DirGhost3 {North,South,East,West,Stop,-1}
@attribute Ghost4posX numeric
@attribute Ghost4posY numeric
@attribute DirGhost4 {North,South,East,West,Stop,-1}
@attribute DirPACMAN {North,South,East,West,East}

@data
19,11,True,True,False,True,15,13,West,16,13,East,15,13,East,15,17,South,East
18,11,False,False,True,True,14,13,West,17,13,East,15,13,East,15,16,South,West
17,11,False,False,True,True,15,13,East,17,13,East,15,13,East,15,15,East,West
16,11,False,False,True,True,15,13,East,17,13,East,16,13,East,16,15,West,West
17,11,False,False,True,True,15,13,East,16,13,West,17,13,East,15,15,East,East
18,11,False,False,True,True,14,13,West,16,13,West,17,13,East,16,15,West,East
17,11,False,False,True,True,14,13,West,16,13,West,16,13,West,15,15,West,West
16,11,False,False,True,True,14,14,North,16,13,West,17,13,East,14,15,South,West
17,11,False,False,True,True,14,13,South,15,13,West,17,13,East,14,14,West,East
18,11,False,False,True,True,15,13,East,16,13,East,16,13,West,13,14,South,East
17,11,False,False,True,True,15,13,East,15,13,West,16,13,West,13,13,North,West
16,11,False,False,True,True,16,13,East,15,13,West,15,13,West,13,14,East,West
17,11,False,False,True,True,15,13,West,16,13,East,16,13,East,14,14,North,East
16,11,False,False,True,True,15,13,West,17,13,East,17,13,East,14,15,West,West
15,11,False,False,True,True,14,13,West,16,13,West,16,13,West,13,15,West,West
14,11,False,False,True,True,13,13,West,17,13,East,15,13,West,12,15,North,West
13,11,False,False,True,True,14,13,East,17,13,East,16,13,East,12,16,North,West
14,11,False,False,True,True,13,13,West,17,13,East,15,13,West,12,16,North,East
13,11,False,False,True,True,13,14,North,16,13,West,16,13,East,12,17,South,West
14,11,False,False,True,True,13,13,South,15,13,West,17,13,East,12,16,South,East
13,11,False,False,True,True,14,13,East,16,13,East,16,13,West,12,16,South,West
14,11,False,False,True,True,13,13,West,17,13,East,16,13,West,12,16,South,East
13,11,False,False,True,True,12,13,West,17,13,East,15,13,West,12,16,South,West
12,11,False,False,True,True,13,13,East,16,13,West,14,13,West,12,16,North,West
13,11,False,False,True,True,14,13,East,17,13,East,15,13,East,12,17,North,East
14,11,False,False,True,True,14,14,North,16,13,West,16,13,East,12,18,South,East
15,11,False,False,True,True,14,15,North,17,13,East,16,13,East,12,17,South,East
16,11,False,False,True,True,15,15,East,16,13,West,16,13,East,12,17,North,East
15,11,False,False,True,True,15,15,East,16,13,West,16,13,East,12,18,North,West
16,11,False,False,True,True,15,15,East,17,13,East,15,13,West,12,18,West,East
17,11,False,False,True,True,15,16,North,17,13,East,15,13,West,11,18,West,East
16,11,False,False,True,True,15,16,North,17,13,East,15,13,West,11,18,East,West
17,11,False,False,True,True,15,17,North,17,13,East,15,13,West,12,18,West,East
18,11,False,False,True,True,15,18,North,17,13,East,16,13,East,11,18,West,East
19,11,True,True,False,True,16,18,East,17,13,East,17,13,East,11,18,East,East
18,11,False,False,True,True,15,18,West,16,13,West,16,13,West,12,18,West,West
17,11,False,False,True,True,15,18,West,16,13,West,15,13,West,11,18,West,West
16,11,False,False,True,True,15,17,South,17,13,East,15,13,West,10,18,West,West
17,11,False,False,True,True,15,18,North,17,13,East,14,13,West,9,18,East,East
16,11,False,False,True,True,15,17,South,17,13,East,13,13,West,10,18,East,West
15,11,False,False,True,True,15,17,South,16,13,West,13,14,North,11,18,West,West
16,11,False,False,True,True,15,16,South,17,13,East,14,14,East,10,18,West,East
17,11,False,False,True,True,15,17,North,17,13,East,13,14,West,9,18,North,East
18,11,False,False,True,True,15,16,South,17,13,East,14,14,East,9,19,North,East
17,11,False,False,True,True,15,16,South,17,13,East,13,14,West,9,19,North,West
18,11,False,False,True,True,15,15,South,17,13,East,13,14,West,9,20,South,East
17,11,False,False,True,True,16,15,East,17,13,East,13,15,North,9,19,North,West
16,11,False,False,True,True,17,15,East,16,13,West,13,15,North,9,20,South,West
17,11,False,False,True,True,17,15,East,15,13,West,13,14,South,9,19,South,East
16,11,False,False,True,True,18,15,East,15,13,West,13,13,South,9,18,South,West
15,11,False,False,True,True,18,15,East,14,13,West,14,13,East,9,18,East,West
16,11,False,False,True,True,17,15,West,14,14,North,14,13,East,10,18,East,East
15,11,False,False,True,True,16,15,West,14,14,North,15,13,East,10,18,East,West
16,11,False,False,True,True,15,15,West,14,15,North,16,13,East,11,18,East,East
17,11,False,False,True,True,15,15,West,14,15,North,17,13,East,11,18,West,East
16,11,False,False,True,True,16,15,East,13,15,West,16,13,West,10,18,West,West
15,11,False,False,True,True,17,15,East,14,15,East,15,13,West,10,18,West,West
14,11,False,False,True,True,17,15,East,13,15,West,14,13,West,9,18,East,West
13,11,False,False,True,True,18,15,East,13,15,West,15,13,East,10,18,West,West
12,11,False,False,True,True,17,15,West,13,15,West,15,13,East,9,18,West,West
13,11,False,False,True,True,17,15,West,13,15,West,15,13,East,9,18,West,East
12,11,False,False,True,True,17,15,West,14,15,East,14,13,West,9,18,North,West
13,11,False,False,True,True,17,15,West,13,15,West,15,13,East,9,19,North,East
14,11,False,False,True,True,17,15,West,13,14,South,16,13,East,9,19,North,East
15,11,False,False,True,True,16,15,West,13,15,North,16,13,East,9,19,North,East
16,11,False,False,True,True,15,15,West,13,15,North,15,13,West,9,19,North,East
15,11,False,False,True,True,15,15,West,12,15,West,15,13,West,9,20,North,West
14,11,False,False,True,True,14,15,West,11,15,West,16,13,East,9,21,East,West
13,11,False,False,True,True,14,15,West,10,15,West,15,13,West,10,21,East,West
14,11,False,False,True,True,14,15,West,9,15,West,16,13,East,11,21,East,East
15,11,False,False,True,True,15,15,East,9,15,West,16,13,East,11,21,East,East
16,11,False,False,True,True,14,15,West,10,15,East,16,13,East,12,21,East,East
17,11,False,False,True,True,14,14,South,10,15,East,15,13,West,13,21,West,East
16,11,False,False,True,True,14,15,North,10,15,East,16,13,East,12,21,West,West
17,11,False,False,True,True,13,15,West,10,15,East,17,13,East,11,21,West,East
18,11,False,False,True,True,13,14,South,11,15,East,17,13,East,11,21,East,East
17,11,False,False,True,True,13,15,North,10,15,West,17,13,East,12,21,West,West
16,11,False,False,True,True,12,15,West,10,15,West,16,13,West,11,21,West,West
15,11,False,False,True,True,13,15,East,9,15,West,17,13,East,10,21,West,West
16,11,False,False,True,True,13,15,East,8,15,West,16,13,West,10,21,West,East
17,11,False,False,True,True,13,14,South,8,14,South,15,13,West,9,21,South,East
16,11,False,False,True,True,13,13,South,8,14,South,16,13,East,9,20,South,West
17,11,False,False,True,True,13,14,North,8,13,South,16,13,East,9,20,South,East
18,11,False,False,True,True,14,14,East,8,12,South,16,13,East,9,19,South,East
19,11,True,True,False,True,13,14,West,8,11,South,16,13,East,9,18,North,East
18,11,False,False,True,True,13,14,West,8,12,North,17,13,East,9,19,South,West
17,11,False,False,True,True,13,14,West,8,13,North,17,13,East,9,18,East,West
18,11,False,False,True,True,13,15,North,8,13,North,16,13,West,10,18,West,East
17,11,False,False,True,True,12,15,West,8,12,South,17,13,East,9,18,North,West
18,11,False,False,True,True,13,15,East,8,13,North,17,13,East,9,19,North,East
17,11,False,False,True,True,14,15,East,8,13,North,17,13,East,9,19,South,West
16,11,False,False,True,True,15,15,East,7,13,West,17,13,East,9,18,North,West
17,11,False,False,True,True,16,15,East,7,13,West,17,13,East,9,19,South,East
16,11,False,False,True,True,15,15,West,6,13,West,16,13,West,9,18,South,West
17,11,False,False,True,True,14,15,West,6,14,North,15,13,West,9,18,North,East
16,11,False,False,True,True,15,15,East,6,14,North,16,13,East,9,19,South,West
17,11,False,False,True,True,15,16,North,6,13,South,16,13,East,9,18,East,East
18,11,False,False,True,True,15,15,South,6,13,South,16,13,East,10,18,West,East
17,11,False,False,True,True,15,15,South,6,13,South,17,13,East,9,18,East,West
16,11,False,False,True,True,14,15,West,6,14,North,16,13,West,10,18,East,West
17,11,False,False,True,True,14,14,South,6,14,North,17,13,East,10,18,West,East
16,11,False,False,True,True,14,15,North,6,13,South,16,13,West,9,18,West,West
17,11,False,False,True,True,15,15,East,6,14,North,16,13,West,9,18,West,East
16,11,False,False,True,True,14,15,West,6,13,South,16,13,West,9,18,East,West
15,11,False,False,True,True,13,15,West,7,13,East,17,13,East,10,18,West,West
16,11,False,False,True,True,13,14,South,8,13,East,17,13,East,9,18,North,East
17,11,False,False,True,True,13,13,South,8,12,South,16,13,West,9,19,South,East
16,11,False,False,True,True,12,13,West,8,11,South,17,13,East,9,18,East,West
17,11,False,False,True,True,12,13,West,8,11,South,16,13,West,10,18,East,East
16,11,False,False,True,True,12,13,West,9,11,East,16,13,West,10,18,East,West
17,11,False,False,True,True,13,13,East,10,11,East,16,13,West,11,18,East,East
16,11,False,False,True,True,14,13,East,9,11,West,15,13,West,11,18,East,West
15,11,False,False,True,True,13,13,West,9,11,West,16,13,East,12,18,East,West
16,11,False,False,True,True,13,14,North,8,11,West,16,13,East,12,18,South,East
15,11,False,False,True,True,13,13,South,8,10,South,15,13,West,12,17,North,West
14,11,False,False,True,True,14,13,East,8,10,South,16,13,East,12,18,North,West
13,11,False,False,True,True,13,13,West,8,11,North,16,13,East,12,18,West,West
14,11,False,False,True,True,13,14,North,9,11,East,17,13,East,11,18,East,East
13,11,False,False,True,True,13,13,South,9,11,East,16,13,West,12,18,East,West
12,11,False,False,True,True,13,14,North,10,11,East,15,13,West,12,18,West,West
11,11,False,False,True,True,13,15,North,3,1,East,15,13,West,11,18,West,West
12,11,False,False,True,True,14,15,East,2,1,West,15,13,West,11,18,West,East
13,11,False,False,True,True,14,15,East,3,1,East,16,13,East,11,18,West,East
14,11,False,False,True,True,13,15,West,3,1,East,15,13,West,10,18,West,East
15,11,False,False,True,True,13,14,South,3,1,East,16,13,East,10,18,East,East
16,11,False,False,True,True,13,15,North,4,1,East,17,13,East,11,18,West,East
17,11,False,False,True,True,13,14,South,5,1,East,16,13,West,10,18,East,East
16,11,False,False,True,True,13,13,South,5,1,East,16,13,West,11,18,West,West
17,11,False,False,True,True,13,14,North,6,1,East,16,13,West,10,18,West,East
16,11,False,False,True,True,13,14,North,6,1,East,15,13,West,10,18,East,West
15,11,False,False,True,True,14,14,East,5,1,West,14,13,West,11,18,West,West
14,11,False,False,True,True,13,14,West,5,1,West,15,13,East,10,18,West,West
15,11,False,False,True,True,13,15,North,4,1,West,16,13,East,10,18,West,East
16,11,False,False,True,True,14,15,East,4,1,West,17,13,East,9,18,East,East
17,11,False,False,True,True,13,15,West,4,1,West,16,13,West,10,18,East,East
16,11,False,False,True,True,13,14,South,4,1,West,15,13,West,11,18,East,West
15,11,False,False,True,True,14,14,East,3,1,West,16,13,East,11,18,East,West
16,11,False,False,True,True,14,13,South,3,1,West,15,13,West,12,18,South,East
15,11,False,False,True,True,15,13,East,2,1,West,15,13,West,12,17,South,West
16,11,False,False,True,True,15,13,East,1,1,West,15,13,West,12,16,South,East
15,11,False,False,True,True,15,13,East,2,1,East,15,13,West,12,15,East,West
14,11,False,False,True,True,15,13,East,2,1,East,14,13,West,13,15,East,West
15,11,False,False,True,True,15,13,East,2,1,East,14,13,West,13,15,East,East
16,11,False,False,True,True,16,13,East,2,1,East,14,13,West,13,15,East,East
17,11,False,False,True,True,16,13,East,2,1,East,15,13,East,13,15,East,East
18,11,False,False,True,True,17,13,East,1,1,West,14,13,West,14,15,East,East
17,11,False,False,True,True,17,13,East,1,2,North,15,13,East,14,15,East,West
16,11,False,False,True,True,16,13,West,1,2,North,15,13,East,15,15,West,West
15,11,False,False,True,True,17,13,East,1,3,North,15,13,East,14,15,West,West
16,11,False,False,True,True,16,13,West,2,3,East,14,13,West,14,15,South,East
15,11,False,False,True,True,15,13,West,2,3,East,14,14,North,14,14,South,West
14,11,False,False,True,True,15,13,West,1,3,West,14,15,North,14,13,East,West
15,11,False,False,True,True,14,13,West,1,2,South,14,15,North,15,13,East,East
16,11,False,False,True,True,14,13,West,1,1,South,15,15,East,15,13,East,East
17,11,False,False,True,True,15,13,East,1,2,North,14,15,West,16,13,East,East
16,11,False,False,True,True,16,13,East,1,3,North,13,15,West,16,13,West,West
15,11,False,False,True,True,15,13,West,1,2,South,14,15,East,15,13,East,West
16,11,False,False,True,True,16,13,East,1,2,South,14,14,South,16,13,East,East
17,11,False,False,True,True,16,13,East,1,2,South,14,13,South,16,13,East,East
16,11,False,False,True,True,15,13,West,1,3,North,13,13,West,17,13,West,West
17,11,False,False,True,True,16,13,East,2,3,East,12,13,West,16,13,East,East
16,11,False,False,True,True,16,13,East,3,3,East,11,13,West,17,13,East,West
15,11,False,False,True,True,16,13,East,4,3,East,10,13,West,17,13,West,West
14,11,False,False,True,True,15,13,West,5,3,East,11,13,East,16,13,West,West
15,11,False,False,True,True,16,13,East,5,3,East,11,13,East,15,13,East,East
16,11,False,False,True,True,15,13,West,5,3,East,10,13,West,16,13,West,East
15,11,False,False,True,True,14,13,West,4,3,West,10,13,West,15,13,West,West
16,11,False,False,True,True,13,13,West,4,3,West,10,13,West,15,13,West,East
15,11,False,False,True,True,14,13,East,3,3,West,11,13,East,15,13,West,West
14,11,False,False,True,True,15,13,East,2,3,West,10,13,West,14,13,West,West
15,11,False,False,True,True,15,13,East,1,3,West,10,13,West,13,13,East,East
16,11,False,False,True,True,15,13,East,1,2,South,10,13,West,14,13,East,East
17,11,False,False,True,True,14,13,West,1,1,South,11,13,East,14,13,West,East
16,11,False,False,True,True,14,13,West,1,1,South,12,13,East,13,13,West,West
