@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R51-53-weka.filters.unsupervised.attribute.Remove-R3,8-9,13-15,19-21,25-27,31,50'

@attribute posX numeric
@attribute posY numeric
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute dghost1pacmanX numeric
@attribute dghost1pacmanY numeric
@attribute dGhost1 numeric
@attribute dghost2pacmanX numeric
@attribute dghost2pacmanY numeric
@attribute dGhost2 numeric
@attribute dghost3pacmanX numeric
@attribute dghost3pacmanY numeric
@attribute dGhost3 numeric
@attribute dghost4pacmanX numeric
@attribute dghost4pacmanY numeric
@attribute dGhost4 numeric
@attribute dg1g2X numeric
@attribute dg1g2Y numeric
@attribute dg1g2M numeric
@attribute dg1g3X numeric
@attribute dg1g3Y numeric
@attribute dg1g3M numeric
@attribute dg1g4X numeric
@attribute dg1g4Y numeric
@attribute dg1g4M numeric
@attribute dg2g3X numeric
@attribute dg2g3Y numeric
@attribute dg2g3M numeric
@attribute dg2g4X numeric
@attribute dg2g4Y numeric
@attribute dg2g4M numeric
@attribute dg3g4X numeric
@attribute dg3g4Y numeric
@attribute dg3g4M numeric
@attribute DirPACMAN {North,South,East,West}

@data
11,9,True,True,False,True,10,8,-1,8,8,-1,6,3,9,14,4,18,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,North
11,10,True,True,False,True,10,9,-1,8,9,-1,6,4,10,14,3,17,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,North
11,11,True,True,False,True,10,10,-1,8,10,-1,6,5,11,14,2,16,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,North
11,12,False,True,True,True,10,11,-1,8,11,-1,6,6,12,14,1,15,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,North
14,7,True,True,False,True,13,6,-1,11,6,-1,9,6,-1,11,6,17,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,North
14,8,True,True,True,True,13,7,-1,11,7,-1,9,7,-1,11,5,16,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,North
14,9,True,True,False,True,13,8,-1,11,8,-1,9,8,-1,11,4,15,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,North
14,10,True,True,True,True,13,9,-1,11,9,-1,9,9,-1,11,3,14,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,North
14,11,True,True,True,True,13,10,-1,11,10,-1,9,10,-1,11,2,13,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,North
20,12,True,True,False,True,19,11,-1,17,11,-1,15,11,-1,5,1,6,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,North
20,13,True,True,False,True,19,12,-1,17,12,-1,15,12,-1,5,0,5,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,North
20,14,True,True,False,True,19,13,-1,17,13,-1,15,13,-1,5,1,6,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,North
20,15,True,True,True,False,19,14,-1,17,14,-1,15,14,-1,5,2,7,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,North
1,2,True,True,False,False,0,1,-1,0,3,3,9,3,12,16,1,-1,0,4,4,9,4,13,16,0,16,9,0,9,16,4,20,7,4,11,North
1,3,True,True,False,False,0,2,-1,0,2,2,9,2,11,16,2,-1,0,4,4,9,4,13,16,0,16,9,0,9,16,4,20,7,4,11,North
1,4,True,True,False,False,0,3,-1,0,1,1,9,1,10,16,3,-1,0,4,4,9,4,13,16,0,16,9,0,9,16,4,20,7,4,11,North
