@RELATION pacman-data

@ATTRIBUTE posX NUMERIC
@ATTRIBUTE posY NUMERIC
@ATTRIBUTE dFood NUMERIC
@ATTRIBUTE North {True, False}
@ATTRIBUTE South {True, False}
@ATTRIBUTE East {True, False}
@ATTRIBUTE West {True, False}
@ATTRIBUTE DirPACMAN {North, South, East, West, Stop}
@ATTRIBUTE Ghost1posX NUMERIC
@ATTRIBUTE Ghost1posY NUMERIC
@ATTRIBUTE dghost1pacmanX NUMERIC
@ATTRIBUTE dghost1pacmanY NUMERIC
@ATTRIBUTE dGhost1 NUMERIC
@ATTRIBUTE DirGhost1 {North, South, East, West, Stop, -1}
@ATTRIBUTE Ghost2posX NUMERIC
@ATTRIBUTE Ghost2posY NUMERIC
@ATTRIBUTE dghost2pacmanX NUMERIC
@ATTRIBUTE dghost2pacmanY NUMERIC
@ATTRIBUTE dGhost2 NUMERIC
@ATTRIBUTE DirGhost2 {North, South, East, West, Stop, -1}
@ATTRIBUTE Ghost3posX NUMERIC
@ATTRIBUTE Ghost3posY NUMERIC
@ATTRIBUTE dghost3pacmanX NUMERIC
@ATTRIBUTE dghost3pacmanY NUMERIC
@ATTRIBUTE dGhost3 NUMERIC
@ATTRIBUTE DirGhost3 {North, South, East, West, Stop, -1}
@ATTRIBUTE Ghost4posX NUMERIC
@ATTRIBUTE Ghost4posY NUMERIC
@ATTRIBUTE dghost4pacmanX NUMERIC
@ATTRIBUTE dghost4pacmanY NUMERIC
@ATTRIBUTE dGhost4 NUMERIC
@ATTRIBUTE DirGhost4 {North, South, East, West, Stop, -1}
@ATTRIBUTE dg1g2X NUMERIC
@ATTRIBUTE dg1g2Y NUMERIC
@ATTRIBUTE dg1g2M NUMERIC
@ATTRIBUTE dg1g3X NUMERIC
@ATTRIBUTE dg1g3Y NUMERIC
@ATTRIBUTE dg1g3M NUMERIC
@ATTRIBUTE dg1g4X NUMERIC
@ATTRIBUTE dg1g4Y NUMERIC
@ATTRIBUTE dg1g4M NUMERIC
@ATTRIBUTE dg2g3X NUMERIC
@ATTRIBUTE dg2g3Y NUMERIC
@ATTRIBUTE dg2g3M NUMERIC
@ATTRIBUTE dg2g4X NUMERIC
@ATTRIBUTE dg2g4Y NUMERIC
@ATTRIBUTE dg2g4M NUMERIC
@ATTRIBUTE dg3g4X NUMERIC
@ATTRIBUTE dg3g4Y NUMERIC
@ATTRIBUTE dg3g4M NUMERIC
@ATTRIBUTE score0 NUMERIC
@ATTRIBUTE score1 NUMERIC
@ATTRIBUTE score2 NUMERIC
@ATTRIBUTE score3 NUMERIC


@data
9, 6, 12, True, True, True, True, West, 5, 6, 4, 0, 4, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 4, 6, 10, Stop, 0, 6, 6, 0, 5, 5, 8, 6, 14, 0, 11, 11, 8, 0, 8, 8, 11, 19, 189, 188, 187, 186
8, 6, 13, True, True, True, True, West, 5, 6, 3, 0, 3, Stop, 5, 12, 3, 6, 9, Stop, 5, 1, 3, 5, -1, Stop, 13, 12, 5, 6, 11, Stop, 0, 6, 6, 0, 5, 5, 8, 6, 14, 0, 11, 11, 8, 0, 8, 8, 11, 19, 188, 187, 186, 385
7, 6, 14, True, True, True, True, West, 5, 6, 2, 0, 2, Stop, 5, 12, 2, 6, 8, Stop, 5, 1, 2, 5, -1, Stop, 13, 12, 6, 6, 12, Stop, 0, 6, 6, 0, 5, 5, 8, 6, 14, 0, 11, 11, 8, 0, 8, 8, 11, 19, 187, 186, 385, 384
6, 6, 15, True, True, True, True, West, 5, 6, 1, 0, 1, Stop, 5, 12, 1, 6, 7, Stop, 5, 1, 1, 5, -1, Stop, 13, 12, 7, 6, 13, Stop, 0, 6, 6, 0, 5, 5, 8, 6, 14, 0, 11, 11, 8, 0, 8, 8, 11, 19, 186, 385, 384, 383
5, 6, 16, True, True, True, True, West, 1, 1, 4, 5, -1, Stop, 5, 12, 0, 6, 6, Stop, 5, 1, 0, 5, -1, Stop, 13, 12, 8, 6, 14, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 385, 384, 383, 382
4, 6, 17, True, True, True, True, West, 1, 1, 3, 5, -1, Stop, 5, 12, 1, 6, 7, Stop, 5, 1, 1, 5, -1, Stop, 13, 12, 9, 6, 15, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 384, 383, 382, 381
3, 6, 18, True, True, True, True, West, 1, 1, 2, 5, -1, Stop, 5, 12, 2, 6, 8, Stop, 5, 1, 2, 5, -1, Stop, 13, 12, 10, 6, 16, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 383, 382, 381, 380
2, 6, 19, True, True, True, True, West, 1, 1, 1, 5, -1, Stop, 5, 12, 3, 6, 9, Stop, 5, 1, 3, 5, -1, Stop, 13, 12, 11, 6, 17, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 382, 381, 380, 379
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 381, 380, 379, 378
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 380, 379, 378, 377
