@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R51-53-weka.filters.unsupervised.attribute.Remove-R3,10-12,16-18,22-24,28-30,32-50'

@attribute posX numeric
@attribute posY numeric
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute Ghost1posX numeric
@attribute Ghost1posY numeric
@attribute DirGhost1 {North,South,East,West,Stop,-1}
@attribute Ghost2posX numeric
@attribute Ghost2posY numeric
@attribute DirGhost2 {North,South,East,West,Stop,-1}
@attribute Ghost3posX numeric
@attribute Ghost3posY numeric
@attribute DirGhost3 {North,South,East,West,Stop,-1}
@attribute Ghost4posX numeric
@attribute Ghost4posY numeric
@attribute DirGhost4 {North,South,East,West,Stop,-1}
@attribute DirPACMAN {North,South,East,West}

@data
1,9,True,True,True,False,3,9,South,2,9,South,3,5,South,4,6,East,North
1,10,False,True,True,False,4,9,East,1,9,West,4,5,East,4,6,East,North
1,10,False,True,True,False,3,9,West,2,9,East,4,5,East,4,6,West,North
4,7,True,True,True,True,1,1,East,3,1,East,3,7,North,3,8,West,North
4,8,True,True,True,True,1,1,East,3,1,East,3,8,North,2,8,West,North
4,9,True,True,True,True,1,1,East,3,1,East,3,8,North,2,8,West,North
4,10,False,True,True,True,1,1,East,3,1,East,3,8,North,1,8,South,North
6,2,True,True,False,False,8,5,East,10,5,East,11,5,East,17,7,East,North
6,3,True,True,False,True,8,5,East,10,5,East,11,5,East,17,7,East,North
6,4,True,True,False,False,8,5,East,10,5,East,11,5,East,17,7,East,North
6,5,True,True,True,True,8,5,East,10,5,East,11,5,East,17,7,East,North
10,6,True,True,False,True,1,1,East,3,1,East,5,1,East,17,7,East,North
10,7,False,True,True,True,1,1,East,3,1,East,5,1,East,17,7,East,North
15,2,True,True,False,False,10,13,West,13,14,North,14,13,East,14,15,South,North
15,3,False,True,True,False,11,13,East,13,15,North,14,14,North,14,14,South,North
15,3,False,True,True,False,11,13,East,13,15,North,14,14,North,14,14,South,North
15,3,False,True,True,False,10,13,West,13,14,South,14,14,North,14,14,South,North
18,4,True,True,False,False,14,13,East,14,13,East,11,15,West,13,15,West,North
18,5,True,True,False,False,13,13,West,15,13,East,10,15,West,12,15,West,North
18,6,False,True,True,True,12,13,West,14,13,West,10,15,West,11,15,West,North
15,7,True,True,False,False,14,13,East,15,13,East,12,15,East,10,15,East,North
15,8,True,True,False,False,14,14,North,14,13,West,12,15,East,11,15,West,North
15,9,False,True,True,False,14,15,North,14,13,West,12,15,East,10,15,East,North
19,10,True,True,False,False,15,15,South,13,13,South,12,17,North,10,15,East,North
19,11,True,True,False,True,16,15,East,13,13,South,12,18,North,11,15,East,North
19,12,True,True,False,False,17,15,East,14,13,East,11,18,West,12,15,East,North
19,13,True,True,True,False,16,15,West,14,13,East,10,18,West,12,15,North,North
19,14,True,True,False,False,17,15,East,13,13,West,9,18,West,12,16,North,North
19,15,False,True,False,True,18,15,East,12,13,West,10,18,East,12,17,South,North
12,16,True,True,False,False,3,3,East,12,13,West,12,18,East,7,1,East,North
12,17,True,True,False,False,3,3,East,13,13,East,12,18,East,7,1,West,North
12,18,False,True,False,True,3,3,East,13,14,North,6,1,East,6,1,West,North
15,11,True,True,True,False,4,3,South,8,14,West,14,5,South,9,13,West,North
15,12,True,True,True,False,3,3,West,7,14,West,13,5,West,8,13,West,North
15,13,True,True,True,False,2,3,West,8,14,East,13,5,West,8,13,West,North
15,14,False,True,True,True,2,3,West,8,14,East,13,4,South,8,13,South,North
9,13,True,True,True,True,5,3,West,3,1,East,11,5,East,7,1,East,North
9,14,False,True,True,True,5,4,North,3,1,East,11,4,South,7,1,East,North
13,4,True,True,True,True,1,1,East,3,1,East,13,10,West,7,1,East,North
13,5,True,True,True,True,1,1,East,3,1,East,14,10,East,7,1,East,North
13,6,False,True,True,True,1,1,East,3,1,East,14,10,East,7,1,East,North
15,7,True,True,True,True,1,1,East,3,1,East,14,9,East,7,1,East,North
15,8,True,True,True,True,1,1,East,3,1,East,15,9,East,7,1,East,North
4,7,True,True,True,True,5,9,East,11,3,East,17,6,East,25,13,East,North
4,8,True,True,True,True,5,9,East,11,3,East,17,6,East,25,13,East,North
4,9,True,True,True,True,5,9,East,11,3,East,17,6,East,25,13,East,North
11,5,True,True,False,True,1,1,East,11,3,East,17,6,East,25,13,East,North
11,6,True,True,False,True,1,1,East,11,3,East,17,6,East,25,13,East,North
11,7,True,True,False,True,1,1,East,11,3,East,17,6,East,25,13,East,North
11,4,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,North
11,5,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,North
11,6,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,North
11,7,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,North
11,8,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,North
11,9,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,North
11,10,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,North
11,11,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,North
11,12,False,True,True,True,1,1,East,3,1,East,17,6,East,25,13,East,North
11,12,False,True,True,True,1,1,East,3,1,East,17,6,East,25,13,East,North
14,7,True,True,False,True,1,1,East,3,1,East,5,1,East,25,13,East,North
14,8,True,True,True,True,1,1,East,3,1,East,5,1,East,25,13,East,North
14,9,True,True,False,True,1,1,East,3,1,East,5,1,East,25,13,East,North
14,10,True,True,True,True,1,1,East,3,1,East,5,1,East,25,13,East,North
20,11,True,True,False,True,1,1,East,3,1,East,5,1,East,25,13,East,North
20,12,True,True,False,True,1,1,East,3,1,East,5,1,East,25,13,East,North
20,13,True,True,False,True,1,1,East,3,1,East,5,1,East,25,13,East,North
20,14,True,True,False,True,1,1,East,3,1,East,5,1,East,25,13,East,North
20,15,True,True,True,False,1,1,East,3,1,East,5,1,East,25,13,East,North
1,2,True,True,False,False,1,1,East,1,5,East,10,5,East,17,1,East,North
1,3,True,True,False,False,1,1,East,1,5,East,10,5,East,17,1,East,North
1,4,True,True,False,False,1,1,East,1,5,East,10,5,East,17,1,East,North
1,5,False,True,True,False,1,1,East,3,1,East,10,5,East,17,1,East,North
12,11,True,True,True,True,6,9,North,8,12,East,11,7,West,16,13,North,North
16,12,True,True,True,True,6,9,North,7,12,North,12,8,South,16,13,East,North
16,13,True,True,True,True,6,8,South,7,12,North,12,8,South,17,13,East,North
16,14,False,True,True,True,5,8,West,7,12,North,12,9,North,18,13,West,North
6,8,True,True,True,True,1,1,East,4,9,North,5,1,East,7,1,East,North
6,9,True,True,True,True,1,1,East,4,8,South,5,1,East,7,1,East,North
6,10,True,True,True,False,1,1,East,4,8,South,5,1,East,7,1,East,North
6,11,True,True,True,True,1,1,East,4,7,South,5,1,East,7,1,East,North
9,9,False,True,True,True,3,5,North,3,1,East,14,9,East,16,4,South,North
9,9,False,True,True,True,3,4,South,3,1,East,15,9,East,16,4,East,North
15,5,False,True,True,True,1,8,North,3,1,East,5,1,East,14,6,North,North
15,5,False,True,True,True,1,8,North,3,1,East,5,1,East,14,7,North,North
14,6,True,True,False,False,1,5,South,3,1,East,5,1,East,12,8,South,North
14,7,True,True,True,True,1,5,South,3,1,East,5,1,East,12,7,North,North
12,8,True,True,True,False,1,4,West,3,1,East,5,1,East,7,1,East,North
12,9,False,True,True,True,1,3,South,3,1,East,5,1,East,7,1,East,North
4,4,True,True,True,True,6,4,East,3,1,East,5,1,East,7,1,East,North
4,5,False,True,True,True,5,4,West,3,1,East,5,1,East,7,1,East,North
4,5,False,True,True,True,5,3,South,3,1,East,5,1,East,7,1,East,North
5,4,True,True,True,True,5,3,East,3,1,East,5,1,East,7,1,East,North
13,14,True,True,True,False,1,1,East,3,1,East,11,13,West,16,13,West,South
15,9,True,True,True,True,4,4,North,8,14,East,12,4,North,12,12,West,South
15,8,True,True,True,True,4,4,North,9,14,East,12,4,North,11,12,East,South
15,7,True,True,True,True,4,5,North,9,13,South,12,3,South,12,12,West,South
